question,correct_answer,predicted_answer,predicted_final_answer,confidence_score,is_correct
" Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? ",10.0,"After deleting 9 old songs, Paige will have 11 - 9 = 2 songs left. Then she added 8 new songs. So, 2 + 8 = 10. The answer is 10.",10,0.9999914169311523,True
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17.0,"Total students trying out = 39 (girls) + 4 (boys) = 43. 26 students got called back. So, 43 - 26 = 17 students didn't make the cut. The answer is 17.",17,0.9999915957450867,True
" Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ",79.0,"Faye started with 34 coloring books. She gave away 3, so she had 34 - 3 = 31. Then she bought 48 more. 31 + 48 = 79. The answer is 79.",79,0.9999828934669495,True
" The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ",9.0,"Let's solve the problem step by step:

The school cafeteria had 23 apples. They used 20 to make lunch for the students, leaving them with 23 - 20 = 3 apples. Then they bought 6 more apples. 

3 + 6 = 9

So the school cafeteria now has 9 apples. The answer is 9.",9,0.9999970197677612,True
" In a video game, each enemy defeated gives you 9 points. If a level has 11 enemies total and you destroy all but 3 of them, how many points would you earn? ",72.0,"For the last question: If there are 11 enemies and you destroyed all but 3 of them, that means you destroyed 11 - 3 = 8 enemies. Since each destroyed enemy gives you 9 points, you earn 8 * 9 = 72 points. The answer is 72.",72,0.9999940395355225,True
" Megan earned 8 points for each bag of cans she recycled. If she had 14 bags, but didn't recycle 5 of them, how many points would she have earned? ",72.0,"Let's break it down step by step:

Megan had 14 bags of cans, but she didn't recycle 5 of them, so she recycled 14 - 5 = 9 bags.

She earns 8 points for each bag, so for 9 bags, she would earn 8 x 9 = 72 points.

The answer is 72.",72,0.999991238117218,True
" April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn? ",36.0,"A: Since April started with 13 roses and ended up with 4, she sold 13 - 4 = 9 roses. Each rose was $4, so she earned 9 x 4 = 36 dollars. The answer is 36.",36,0.9999958872795105,True
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"First, let's find the total number of shirts Ned had to wash. We add the short sleeve shirts and long sleeve shirts: 9 + 21 = 30. Ned washed 29 shirts by the time school started. So, he didn't wash 30 - 29 = 1 shirt. The answer is 1.",1,0.999995231628418,True
" A company invited 47 people to a luncheon, but 7 of them didn't show up. If the tables they had held 5 people each, how many tables do they need? ",8.0,"If 7 people didn't show up, then there were 47 - 7 = 40 people who attended. Since each table holds 5 people, we need to divide the total number of people who attended by the number of people that can fit in a table: 40 / 5 = 8. The answer is 8.",8,0.9999786615371704,True
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39.0,"If Tom had 5 books and sold 4 of them, he is left with 5 - 4 = 1 book. 

He then used the money he earned from selling the 4 books to buy 38 new ones. So he now has the 1 book he had left and the 38 new ones. 1 + 38 = 39 books. The answer is 39.",39,0.9999224543571472,True
" For a birthday party Jerry bought 41 regular sodas and 22 diet sodas. If his fridge would only hold 9 on each shelf, how many shelves would he fill up? ",7.0,"A: Jerry bought 41 regular sodas and 22 diet sodas, so he bought 41 + 22 = 63 sodas. Each shelf can hold 9 sodas. To find out how many shelves he can fill, divide 63 by 9: 63 / 9 = 7. Jerry can fill 7 shelves completely. Since 63 is divisible by 9 with a remainder of 0, we don't need to consider any partial shelf. The answer is 7.",7,0.9999237656593323,True
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"Debby had 32 pieces and her sister had 42. In total, they had 32 + 42 = 74 pieces. After eating 35 pieces, they had 74 - 35 = 39. The answer is 39.",39,0.9999722838401794,True
 Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3.0,"There are 41 seeds. She planted 29 in the big garden. This leaves 41 - 29 = 12 seeds. Each small garden gets 4 seeds, so there must be 12 / 4 = 3 small gardens. The answer is 3.",3,0.999983012676239,True
" For Halloween Emily received 5 pieces of candy from neighbors and 13 pieces from her older sister. If she only ate 9 pieces a day, how long would the candy last her? ",2.0,"First, let's calculate the total amount of candies Emily received. 

She received 5 pieces from her neighbors and 13 pieces from her older sister, which makes 5 + 13 = 18 pieces of candy.

Since she eats 9 pieces a day, to find out how many days the candy will last, we need to divide 18 by 9. 

18 ÷ 9 = 2 

The answer is 2. The candies will last Emily for 2 days.",2,0.999994158744812,True
" Mike is at the library helping put away books. There are 82 book to put away total but a librarian takes 10 of them and leaves Mike with the rest. If he can fit 9 books on a shelf, how many shelves will he need? ",8.0,"First, we need to find out how many books Mike has left after the librarian takes 10. There are 82 books in total. After the librarian takes 10, Mike has 82 - 10 = 72 books left.

To find out how many shelves Mike needs, we need to divide the number of books he has left by the number of books that fit on a shelf.

72 books / 9 books per shelf = 8 shelves.

The answer is 8.",8,0.9999665021896362,True
" While on vacation, Nancy took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? ",19.0,"To find the total number of pictures Nancy took, we need to add the pictures she took at the zoo and the museum. 

She took 49 pictures at the zoo and 8 pictures at the museum, so she took 49 + 8 = 57 pictures in total.

Then, she deleted 38 pictures. To find out how many pictures she has left, we need to subtract 38 from 57.

57 - 38 = 19

The answer is 19.",19,0.9999962449073792,True
" A new building needed 14 windows. The builder had already installed 8 of them. If it takes 8 hours to install each window, how long will it take him to install the rest? ",48.0,"A: There are 14 windows needed in total. 8 windows have already been installed, so 14 - 8 = 6 windows are left. If it takes 8 hours to install each window, it will take 8 * 6 = 48 hours to install the rest.",48,0.9999949336051941,True
 A store had 40 oranges in a bin. If they threw away 25 of the old ones and put 21 new ones in the bin how many would be in the bin? ,36.0,"Initially, there are 40 oranges. They threw away 25 old oranges. This leaves 40 - 25 = 15. Then they added 21 new oranges to the bin. So, 15 + 21 = 36. The answer is 36.",36,0.9999894499778748,True
" At lunch a waiter had 7 customers and 5 of them didn't leave a tip. If he got $3 each from the ones who did tip, how much money did he earn? ",6.0,"To find the amount of money the waiter earned, we need to find the number of customers who left a tip and then multiply that by 3. Since 5 customers didn't leave a tip, the number of customers who did tip is:

7 (original customers) - 5 (customers who didn't tip) = 2 customers who tipped.

Since each of these customers tipped 3 dollars, the total amount earned is:

2 * 3 = 6

The answer is 6.",6,0.9999880194664001,True
 For Halloween Faye scored 47 pieces of candy. She ate 25 pieces the first night and then her sister gave her 40 more pieces. How many pieces of candy does Faye have now? ,62.0,"Faye started with 47 pieces of candy. After eating 25, she had 47 - 25 = 22. Then her sister gave her 40 more pieces, so she now has 22 + 40 = 62 pieces of candy. The answer is 62.",62,0.9999675750732422,True
 A group of 4 friends went into a restaurant. The chef already had 9 chicken wings cooked but cooked 7 more for the group. If they each got the same amount how many would each person get? ,4.0,"There were already 9 chicken wings cooked. Then 7 more were cooked for the group. So, in total, there are 9 + 7 = 16 chicken wings. If there are 4 friends, they will divide the 16 wings equally among themselves. So, each person will get 16 / 4 = 4 chicken wings. The answer is 4.",4,0.9999921917915344,True
" John earned 8 dollars for each lawn he mowed. If he had 15 lawns to mow, but forgot to mow 7 of them, how much money did he actually earn? ",64.0,"John was paid 8 dollars for each lawn he mowed. However, he was not paid for the lawns he didn't mow (7 lawns). 

So he did 15 - 7 = 8 lawns. Since he was paid for 8 lawns, and each lawn is 8 dollars, 8 x 8 = 64. The answer is 64.",64,0.9999635219573975,True
" A pet shelter had 5 puppies when another 35 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",5.0,"A: They have a total of 5 + 35 = 40 puppies. They are adopting 8 puppies a day. To find out how many days, divide 40 by 8. 40 / 8 = 5. The answer is 5 days.",5,0.9999865889549255,True
" A new building needed 9 windows. The builder had already installed 6 of them. If it takes 6 hours to install each window, how long will it take him to install the rest? ",18.0,"First, we need to determine how many windows are left to be installed. The total number of windows needed is 9, and 6 have already been installed, so 9 - 6 = 3 windows are left.

It takes 6 hours to install each window, and there are 3 windows left to be installed. To find out how many hours it will take to install the remaining windows, we multiply the number of windows left by the number of hours it takes to install each window:

3 windows * 6 hours/window = 18 hours

The answer is 18.",18,0.9999958276748657,True
" A teacher had 34 worksheets to grade. If she graded 7, but then another 36 were turned in, how many worksheets would she have to grade? ",63.0,"Since the teacher graded 7 worksheets and then 36 more were turned in, the total number of worksheets she has to grade now is 7 + 36 = 43. The answer is 43.",43,0.999950647354126,False
" While playing at the arcade, Frank won 33 tickets playing 'whack a mole' and 9 tickets playing 'skee ball'. If he was trying to buy candy that cost 6 tickets a piece, how many could he buy? ",7.0,"Frank got 33 + 9 = 42 tickets. The candy costs 6 tickets per piece. To find out how many he can buy, divide the total tickets he has by the price of one piece. 42 ÷ 6 = 7. The answer is 7.",7,0.9999913573265076,True
