question,correct_answer,predicted_answer,predicted_final_answer,confidence_score,is_correct
" Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? ",10,"To find the total number of songs Paige has on her mp3 player, first, calculate the number of songs after deleting 9 old songs.

Paige started with 11 songs. After deleting 9 songs, she had 11 - 9 = 2 songs left.

Then, Paige added 8 new songs to her mp3 player, so now she has 2 + 8 = 10 songs.

The answer is 10.",10,6.929248120467819,True
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17,"To find the number of students who didn't make the cut, we need to find the total number of students and subtract the number of students who made the cut. 

There were 39 girls and 4 boys, so the total number of students is 39 + 4 = 43. Since 26 of them got called back, the number of students who didn't make the cut is 43 - 26 = 17.",17,6.893004814215471,True
" Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ",79,"Faye originally had 34 coloring books. If she gave away 3 of them, she would have 34 - 3 = 31. Then she bought 48 more. So she now has 31 + 48 = 79 coloring books. The answer is 79.",79,6.864535946318521,True
" The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ",9,"To find the total number of apples the school cafeteria would have, we need to first find out how many apples they had left after making lunch, and then add the 6 more apples they bought. 

They started with 23 apples. After using 20 for lunch, they were left with 23 - 20 = 3. 

Then, they bought 6 more apples. 

So, 3 (remaining apples) + 6 (new apples) = 9. The answer is 9.",9,6.92793389344471,True
" In a video game, each enemy defeated gives you 9 points. If a level has 11 enemies total and you destroy all but 3 of them, how many points would you earn? ",72,"To find the total points earned, you need to calculate how many enemies you defeated. If there are 11 enemies in total and you killed all but 3, that means you killed 11 - 3 = 8 enemies. 

Since each enemy gives you 9 points, you would earn 8 x 9 = 72 points. The answer is 72.",72,6.703334340277431,True
" Megan earned 8 points for each bag of cans she recycled. If she had 14 bags, but didn't recycle 5 of them, how many points would she have earned? ",72,"To find out how many points Megan would have earned, we need to multiply the number of bags she recycled by the points she earned per bag.

Megan recycled 14 - 5 = 9 bags of cans. Since she earned 8 points per bag, she would have earned 9 x 8 = 72 points.

The answer is 72.",72,6.087665094237818,True
" April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn? ",36,"April started with 13 roses, and after the sale, she had 4 roses left. This means she sold 13 - 4 = 9 roses. Since each rose was $4, the total amount of money she earned would be 9 x 4 = 36 dollars. The answer is 36.",36,6.875044099708395,True
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1,"To find out how many shirts Ned did not wash, first, calculate the total number of shirts he had to wash: 9 (short sleeves) + 21 (long sleeves) = 30 shirts.

Ned washed 29 shirts before school started. To find out how many he did not wash, subtract 29 from the total number of shirts: 30 - 29 = 1 shirt.

The answer is 1.",1,6.61123799110945,True
" A company invited 47 people to a luncheon, but 7 of them didn't show up. If the tables they had held 5 people each, how many tables do they need? ",8,"The company invited 47 people, but 7 didn't show up, so there were 47 - 7 = 40 people that actually attended. If the tables hold 5 people each, to find out how many tables they need, we divide the number of people by the table capacity:

40 / 5 = 8.

Since you cannot have a fraction of a table, they need 8 tables.",8,6.871368358631706,True
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,"Tom originally had 5 books. He sold 4 books, so he was left with 5 - 4 = 1 book. He used the money from the 4 sold books to buy 38 new books. So, he now has 1 (he was left with) + 38 (new books) = 39 books. The answer is 39.",39,3.3795779336697436,True
" For a birthday party Jerry bought 41 regular sodas and 22 diet sodas. If his fridge would only hold 9 on each shelf, how many shelves would he fill up? ",7,"To find the total number of sodas Jerry bought, you need to add the regular sodas and diet sodas together: 41 (regular sodas) + 22 (diet sodas) = 63 sodas.

Now, you need to divide the total number of sodas by the number of sodas each shelf can hold: 63 sodas / 9 sodas per shelf = 7 shelves. 

Jerry will fill up 7 shelves.",7,4.723310024424772,True
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39,"Let's solve the problem.

Debby had 32 pieces of candy, and her sister had 42. In total, they had 32 + 42 = 74 pieces.

After eating 35 pieces the first night, they had 74 - 35 = 39 pieces left.

The answer is 39.",39,6.237327083155013,True
 Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3,"To find out the number of small gardens Emily had, we need to find out how many seeds she planted in the small gardens. We already know she planted 29 seeds in the big garden. Since she started with 41 seeds, we subtract the seeds planted in the big garden: 41 - 29 = 12.

Since each small garden got 4 seeds, we divide the remaining seeds by 4 to find the number of small gardens: 12 / 4 = 3.

The answer is 3.",3,6.642882661461005,True
