question,correct_answer,predicted_answer,predicted_final_answer,confidence_score,is_correct
" Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? ",10.0,"Initially, Paige had 11 songs on her mp3 player. She deleted 9 songs, so she had 11 - 9 = 2 songs left. Then she added 8 new songs, so now she has 2 + 8 = 10 songs.",10,0.9999764694107903,True
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17.0,"To find the number of students who didn't make the cut, we need to find the total number of students and subtract the number who got called back.

There were 39 girls and 4 boys, so the total number of students is 39 + 4 = 43.

If only 26 of them got called back, we subtract that from the total number of students: 43 - 26 = 17.

The answer is 17.",17,0.9998798727989197,True
" Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ",79.0,"To solve this problem, first, we need to calculate how many coloring books Faye has after giving away 3. 

Faye started with 34 coloring books. She gave away 3, so she has 34 - 3 = 31.

Then she bought 48 more, so now she has 31 + 48 = 79 coloring books. 

The answer is 79.",79,0.9996958808465437,True
" The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ",9.0,"There are 23 apples originally. They used 20 for lunch, so they had 23 - 20 = 3 apples left. After buying 6 more, they had 3 + 6 = 9 apples. The answer is 9.",9,0.9998652219772339,True
" In a video game, each enemy defeated gives you 9 points. If a level has 11 enemies total and you destroy all but 3 of them, how many points would you earn? ",72.0,"To find the total points earned, first, calculate the number of enemies defeated. If there are 11 enemies in total and 3 were left untouched, then 11 - 3 = 8 enemies were defeated. 

Since each enemy defeated gives 9 points, the points earned would be 8 * 9 = 72.",72,0.9988441202375624,True
" Megan earned 8 points for each bag of cans she recycled. If she had 14 bags, but didn't recycle 5 of them, how many points would she have earned? ",72.0,"Since Megan had 14 bags, but didn't recycle 5 of them, she recycled 14 - 5 = 9 bags. She earns 8 points per bag. So, 9 * 8 = 72 points. The answer is 72.",72,0.9759052634239197,True
" April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn? ",36.0,"Each rose costs 4 dollars. April started with 13 roses and had 4 left. To find out how many roses she sold, subtract the number of roses she has left from the original number: 13 - 4 = 9 roses. 

She sold 9 roses and each rose costs 4 dollars. To find the total earnings, multiply the number of roses sold by the price per rose: 9 * 4 = 36 dollars. The answer is 36.",36,0.9998492250839869,True
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"Q: Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. So, in total he had to wash 9 + 21 = 30 shirts. He washed 29 shirts, so he didn't wash 30 - 29 = 1 shirt. The answer is 1.",1,0.9991514444351196,True
" A company invited 47 people to a luncheon, but 7 of them didn't show up. If the tables they had held 5 people each, how many tables do they need? ",8.0,"The company invited 47 people and 7 did not show up. So 47 - 7 = 40 people actually showed up. 

Since each table held 5 people, the number of tables needed is 40 / 5 = 8.

The answer is 8 tables.",8,0.999867844581604,True
" Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39.0,"To find the number of books Tom has after selling and buying, we need to follow the steps below.

1. Tom originally had 5 books. He sold 4, so he had 5 - 4 = 1 book left.
2. He used the money he earned to buy 38 new books. The number of books he has now is the number of books he had left (1) plus the number of new books he bought (38). 
   So, 1 + 38 = 39 books.

The answer is 39.",39,0.9990200570651463,True
" For a birthday party Jerry bought 41 regular sodas and 22 diet sodas. If his fridge would only hold 9 on each shelf, how many shelves would he fill up? ",7.0,"To find out how many shelves Jerry will fill up, we need to find the number of sodas and add them together. 41 (regular) + 22 (diet) = 63. 

Since there are 9 sodas on each shelf, we divide the total number of sodas by the number of sodas on each shelf. 63 / 9 = 7. So, Jerry will fill up 7 shelves.

The answer is 7.",7,0.9870093531078763,True
